http://www.thedailystar.net/country/news/yaba-trader-killed-coxs-bazar-gunfight-bgb-1894528,2020-04-19 13:40:37+06:00,Yaba trader killed in Cox’s Bazar gunfight: BGB,"An alleged yaba trader was killed in a ""gunfight"" with Bangladesh Border Guard (BGB) members in Teknaf upazila of Cox's Bazar early today.



The deceased was identified as Zafor Alam, 30, of Nayapara village under Sabrang union, our Cox's Bazar correspondent reports, quoting a BGB official.



BGB members challenged a boat that came from Myanmar by crossing the Naf river and tried to get ashore at Gholarchar ghat, said Lt Colonel Mohammad Faysal Hasan Khan, commanding officer (CO) of BGB Battalion-2 in Teknaf.



However, the people on board fired shots at the border guards, forcing the BGB members to retaliate, triggering a gunfight at the river bank at Shahparirdwip area at around 2:00am, said the CO.



They found an injured person on the spot while the rest managed to flee the scene at one stage of the gunfight, he added.



He was rushed to Teknaf Upazila Health Complex, where doctors declared him dead, the BGB official said.



BGB recovered two lakh yaba pills worth around Tk six crore and a locally made gun from the boat after the incident, said Faysal.



The body was later sent to Cox's Bazar General Hospital for autopsy while BGB filed a case in this regard, he added.



"
,,,
http://www.thedailystar.net/city/news/the-watermelon-divers-kirtankhola-1894345,2020-04-19 00:00:00+06:00,The watermelon divers of Kirtankhola,"Like the kingfisher dive-bombs into rivers to prey on small fish, these boys plunge into the Kirtankhola to collect stray watermelons every day of the season.

Flowing from the west bank of Barishal city, Kirtankhola plays host to watermelon traders from all around the region. Every day, hundreds of trawlers from Bhola, Patuakhali, and Barguna anchor at Port Road's watermelon trade hub.

The trawlers are filled to the brim before they set sail, and it's almost expected that a few of the green-goodness will be lost to the river. This is where our boys come in.

Jasim (12) and Ibrahim (10) are siblings from nearby Rasulpur slum area. They go to a local primary school, to fifth and fourth grades respectively. Their father is a daywage worker and mother works as a house help.

During watermelon season, the boys get to work at noon. Like other children of the Rasulpur slum, the brothers know how to swim, and they're not afraid to take on the waves. They get on their styrofoam rafts and pick-up stray watermelons, even if they are floating in the middle of the river. They have done this for so long that they might have really developed kingfisher like scoping abilities -- they say nothing escapes their eyes!

Although the coronavirus shutdown is negatively affecting almost everyone else's lives, for the boys, the leisure is but an opportunity to grab even more.

Watermelon is a big fruit, so any number they get is a good number. Once they feel like they have enough, they bring it home and share with the family. For a cash-strapped family like theirs, delicacies are hard to come by, and so these melons bring a lot of extra happiness.

In fact, it's not just watermelons. When the melons are out of stock, the boys collect everything from coconuts, lime, betel gourd, pumpkin, guava, lemon. Basically any and everything that plies the river and drops into it.

The river is like a companion to the children who grow up in Rasulpur, the Barishal City Corporation councillor of the area said. So much so, that some of them harbour dreams to spend the rest of their lives with it. Like Jasim, who said he wants to grow up to be a ""pilot"" of a passenger launch.

""I like the river. If I get to become a pilot, my family can live in more comfort, and we won't have to pick-up watermelons from the river.""

But wait, does this mean he doesn't like doing this? Turns out, that's not the case at all.

""No, no, that's not to say I don't like this. It is my pleasure to dive for watermelons and all the other fruits and vegetables. It has become something of a hobby and it brings me a lot of joy,"" Jasim corrected himself with a smile."
,,,
http://www.thedailystar.net/city/news/mobile-courts-fine-61-people-ignoring-physical-distancing-directives-1894273,2020-04-18 21:04:32+06:00,Mobile courts fine 61 people for ignoring physical distancing directives,"Mobile courts under Dhaka District Administration today fined 61 people nearly Tk 71,800 for ignoring government directives on physical distancing in Dhaka and nearby areas.



A total of 45 mobile courts were active in the city and district towns today, said Al Mamun, an executive magistrate of Dhaka District Administration.



The mobile court also worked on raising awareness among people urging them to ensure social and physical distancing, the official said.



The executive magistrates also supervised relief distribution among 875 people in-need in the city."
,,,
http://www.thedailystar.net/city/news/4-held-storing-covid-19-test-kits-1894000,2020-04-18 00:00:00+06:00,4 held for storing Covid-19 test kits,"Police arrested four people from Bangla Motor area in the capital on Thursday night on charges of storing coronavirus testing kits and other equipment used in combating the virus and selling those at hiked prices.

The arrestees are Anwar Hossain, Amit Basak, Shoayeb, and Shuvo.

SM Shamim, senior assistant commissioner of Ramna (zone) police, said they were discharging their duties at Moghbazar when a man approached and complained to them that some traders took Tk 30,000 for 20 masks when the actual price is Tk 3,600.

Shamim said they later conducted a raid at a private institution at Jahura Tower around 9pm on the day and arrested the four along with 275 Covid-19 testing kits, 9,050 normal and 100 N95 masks, 198 personal protective equipment and some other items.

The testing kits should not be in the possession of any individual or private organisation, Shamim said.

In primary interrogation, the arrestees admitted that they stored the items to sell later at hiked prices. A case was filed with Shahbagh Police Station under the Special Powers Act in this regard."
,,,
http://www.thedailystar.net/city/news/rhino-1894036,2020-04-18 00:00:00+06:00,Rhino,"Last week I wrote about the book African Silences by Peter Matthiessen recounting a series of trips he made in Africa in search of birds and wildlife. Along with other animals, the book taught me about the White Rhino.

Among all land mammals in the world, the rhino is second only to the elephant in size. There are five species of rhinos in the world. They are White Rhino, Black Rhino, One-horned Rhino, Javan Rhino and Sumatran Rhino. The White Rhino is the largest, weighing in at around 6000 pounds. (In comparison, the African Elephant weighs up to 15000 pounds.) Rhinos are herbivores, living on grass and leaves. Although large, they are fast and can exceed 30 miles/hour during a charge. They are clad in a thick, protective skin up to 2 inches thick. Man is their only predator; they are killed for their horns used for medicinal purpose. Their name comes from their unique appearance: ""Rhinoceros"" is derived from a Greek word meaning ""nose-horned.""

Matthiessen observes that the White Rhino had two subspecies: Northern White Rhino and Southern White Rhino. The Northern subspecies has become extinct, largely due to wholesale slaughter by humans. For example, in the years following the assassination of Patrice Lumumba in the Congo, Simba rebels slaughtered 90% of the White Rhinos there for the purpose of selling their horns. The proceeds were used to buy more weapons. Subsequent efforts to save the subspecies came to naught.

The Southern White Rhino can be easily seen in South Africa.

The moniker ""White"" is a misnomer – the animals are not really white. It apparently comes from the word ""weit"", an Afrikaner word meaning ""wide"", called so because of their wide mouths. English settlers misheard the name.

The Black Rhino (not really black, but named as a counterpoint to the White Rhino!) is found in Kenya, South Africa, Namibia and Zimbabwe. I saw it in Kenya's Lake Nakuru National park which has the world's largest concentration of them: one hundred and fifty. In the early morning light two rhinos were grazing in a meadow. At one point they faced each other and nuzzled their large horns. It was touching to see the show of affection among these two giants.

The Javan Rhino is the rarest rhino, critically endangered, with around seventy-two left in the wild. They are the smallest of the rhinos but still formidable at 3000-5000 pounds. All surviving members live in Ujong Kulon National Park in Java.

The Sumatran Rhino is also critically endangered. It is estimated that less than a hundred live in the wild.

One rhino differs in appearance than all the others. While the rest have two horns, the Greater One Horned Rhino, living in India and Nepal, sports just one. Its story is in stark contrast to the Northern White Rhino. Once close to extinction, efforts to save it succeeded and today it numbers over three thousand, the majority in Kaziranga and Chitwan parks in India and Nepal respectively.

In Bangladesh, there are records of rhinos from the late 1880s and early 1900s. For example, Sundarban was home to a subspecies of the Javan Rhino. However, this subspecies, Rhinoceros sondaicus inermis, has become extinct. At other times Bangladesh also had the Greater One-horned Rhino and the Sumatran Rhino.

facebook.com/ikabirphotographs or follow ihtishamkabir on Instagram."
,,,
